0,1,2,3,4,5,12,13,14,accession_number,company_name,report_period,filed_date,cik
Available Funds,Available Funds,Available Funds,Available Funds,Available Funds,Available Funds,,,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
23.,23.,23.,Available Collections,Available Collections,Available Collections,$,17439549.55,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
24.,24.,24.,Reserve Account Draw Amount,Reserve Account Draw Amount,Reserve Account Draw Amount,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
25.,25.,25.,Available Funds,Available Funds,Available Funds,$,17439549.55,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
Application of Available Funds,Application of Available Funds,Application of Available Funds,Application of Available Funds,Application of Available Funds,Application of Available Funds,,,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
26.,26.,26.,Servicing Fee,Servicing Fee,Servicing Fee,0.15,0.15,%,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,a. Monthly Servicing Fee,a. Monthly Servicing Fee,a. Monthly Servicing Fee,$,234707.79,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,b. Amount Unpaid from Prior Months,b. Amount Unpaid from Prior Months,b. Amount Unpaid from Prior Months,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,c. Amount Paid,c. Amount Paid,c. Amount Paid,$,234707.79,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,d. Shortfall Amount (a + b - c),d. Shortfall Amount (a + b - c),d. Shortfall Amount (a + b - c),$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
27.,27.,27.,Unreimbursed Servicer Advances,Unreimbursed Servicer Advances,Unreimbursed Servicer Advances,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
28.,28.,28.,Successor Servicer and Asset Representations Reviewer Unpaid Expenses and Indemnity Amounts,Successor Servicer and Asset Representations Reviewer Unpaid Expenses and Indemnity Amounts,Successor Servicer and Asset Representations Reviewer Unpaid Expenses and Indemnity Amounts,,,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
