0,1,2,3,4,5,6,7,8,12,13,14,accession_number,company_name,report_period,filed_date,cik
Pool Balance,Pool Balance,Pool Balance,Pool Balance,Pool Balance,Pool Balance,,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
1.,1.,1.,Pool Balance on the close of the last day of the preceding Collection Period,Pool Balance on the close of the last day of the preceding Collection Period,Pool Balance on the close of the last day of the preceding Collection Period,,,,$,987577077.60,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
2.,2.,2.,Collections allocable to Principal,Collections allocable to Principal,Collections allocable to Principal,,,,$,31863073.01,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
3.,3.,3.,Purchase Amount allocable to Principal,Purchase Amount allocable to Principal,Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
4.,4.,4.,Defaulted Receivables,Defaulted Receivables,Defaulted Receivables,,,,$,988410.87,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
5.,5.,5.,Pool Balance on the close of the last day of the related Collection Period,Pool Balance on the close of the last day of the related Collection Period,Pool Balance on the close of the last day of the related Collection Period,,,,$,954725593.72,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,(Ln1 - Ln2 - Ln3 - Ln4),(Ln1 - Ln2 - Ln3 - Ln4),(Ln1 - Ln2 - Ln3 - Ln4),,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
6.,6.,6.,Total number of Receivables outstanding on the close of the last day of the related Collection Period,Total number of Receivables outstanding on the close of the last day of the related Collection Period,Total number of Receivables outstanding on the close of the last day of the related Collection Period,,,,65389,65389,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
7.,7.,7.,Initial Pool Balance,Initial Pool Balance,Initial Pool Balance,,,,$,1503750003.50,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,,,,Beginning of Period,Beginning of Period,Beginning of Period,End of Period,End of Period,End of Period,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
8.,8.,8.,Note Balances,Note Balances,Note Balances,,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,a. Class A-1 Note Balance,a. Class A-1 Note Balance,a. Class A-1 Note Balance,$,0.00,,$,0.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,b. Class A-2a Note Balance,b. Class A-2a Note Balance,b. Class A-2a Note Balance,$,277128730.65,,$,248546049.21,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,c. Class A-2b Floating Rate Note Balance,c. Class A-2b Floating Rate Note Balance,c. Class A-2b Floating Rate Note Balance,$,41388971.94,,$,37120169.50,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,d. Class A-3 Note Balance,d. Class A-3 Note Balance,d. Class A-3 Note Balance,$,473500000.00,,$,473500000.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,e. Class A-4 Note Balance,e. Class A-4 Note Balance,e. Class A-4 Note Balance,$,103820000.00,,$,103820000.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,f. Class B Note Balance,f. Class B Note Balance,f. Class B Note Balance,$,33840000.00,,$,33840000.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,g. Class C Note Balance,g. Class C Note Balance,g. Class C Note Balance,$,30070000.00,,$,30070000.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,h. Class D Note Balance,h. Class D Note Balance,h. Class D Note Balance,$,24070000.00,,$,24070000.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,i. Note Balance (sum a - h),i. Note Balance (sum a - h),i. Note Balance (sum a - h),$,983817702.59,,$,950966218.71,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
9.,9.,9.,Pool Factors,Pool Factors,Pool Factors,,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,a. Class A-1 Note Pool Factor,a. Class A-1 Note Pool Factor,a. Class A-1 Note Pool Factor,0.0000000,0.0000000,,0.0000000,0.0000000,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,b. Class A-2a Note Pool Factor,b. Class A-2a Note Pool Factor,b. Class A-2a Note Pool Factor,0.5912710,0.5912710,,0.5302881,0.5302881,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,c. Class A-2b Floating Rate Note Pool Factor,c. Class A-2b Floating Rate Note Pool Factor,c. Class A-2b Floating Rate Note Pool Factor,0.5912710,0.5912710,,0.5302881,0.5302881,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,d. Class A-3 Note Pool Factor,d. Class A-3 Note Pool Factor,d. Class A-3 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
