0,1,2,3,4,5,9,10,11,15,16,17,accession_number,company_name,report_period,filed_date,cik
,,,Dollar Amount,Dollar Amount,Dollar Amount,# of Receivables,# of Receivables,# of Receivables,Weighted Avg Remaining Term at Cutoff,Weighted Avg Remaining Term at Cutoff,Weighted Avg Remaining Term at Cutoff,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Initial Pool Balance,Initial Pool Balance,Initial Pool Balance,$,1415499059.21,,43920,43920,,59.5 months,59.5 months,59.5 months,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
,,,Dollar Amount,Dollar Amount,Dollar Amount,Note Interest Rate,Note Interest Rate,Note Interest Rate,Final Scheduled Payment Date,Final Scheduled Payment Date,Final Scheduled Payment Date,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Original Securities:,Original Securities:,Original Securities:,,,,,,,,,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,$,204970000.00,,0.11941,0.11941,%,"March 15, 2022","March 15, 2022","March 15, 2022",0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Class A-2 Notes,Class A-2 Notes,Class A-2 Notes,$,455060000.00,,0.17,0.17,%,"October 15, 2023","October 15, 2023","October 15, 2023",0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Class A-3 Notes,Class A-3 Notes,Class A-3 Notes,$,455060000.00,,0.30,0.30,%,"August 15, 2025","August 15, 2025","August 15, 2025",0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Class A-4 Notes,Class A-4 Notes,Class A-4 Notes,$,135000000.00,,0.49,0.49,%,"September 15, 2026","September 15, 2026","September 15, 2026",0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Class B Notes,Class B Notes,Class B Notes,$,39470000.00,,0.70,0.70,%,"October 15, 2026","October 15, 2026","October 15, 2026",0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Class C Notes,Class C Notes,Class C Notes,$,26320000.00,,0.83,0.83,%,"August 15, 2028","August 15, 2028","August 15, 2028",0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Total,Total,Total,$,1315880000.00,,,,,,,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
